Date,Open,High,Low,Close,Adj Close,Volume
2007-05-14,46.598194,46.623867,45.956345,45.994854,30.370081,1869857
2007-05-15,45.003841,45.029514,44.544277,44.785614,30.246964,4178930
2007-05-16,44.801018,44.849796,44.364559,44.436447,30.011152,3031993
2007-05-17,44.623867,44.772778,44.587921,44.711159,30.196692,2018849
2007-05-18,44.595627,45.812569,44.590492,45.717579,30.876398,4018090
2007-05-21,45.776627,46.156601,45.468540,45.953777,31.035917,2014767
2007-05-22,45.969181,46.213085,45.820271,46.010258,31.074068,1708211
2007-05-23,46.338886,46.495499,45.715008,45.869053,30.978697,2184853
2007-05-24,45.622581,45.956345,45.211800,45.283688,30.583357,1784533
2007-05-25,45.057755,45.566101,44.801018,45.448002,30.694334,2028524
2007-05-28,45.620014,45.722710,45.314495,45.602043,30.798367,233061
2007-05-29,45.581505,45.622581,45.039783,45.039783,30.418629,2003580
2007-05-30,44.926819,44.926819,44.207951,44.646973,30.153339,2768064
2007-05-31,44.829258,45.417191,44.767639,45.301659,30.595493,2024792
2007-06-01,45.242607,46.290104,45.224636,46.213085,31.310858,1578519
2007-06-04,46.354290,46.518604,46.084713,46.464687,31.481333,2641227
2007-06-05,46.328617,47.465973,46.225922,46.803585,31.710949,4533831
2007-06-06,46.793316,46.983303,46.200249,46.225922,31.319557,3583011
2007-06-07,46.456985,46.521172,45.673931,45.707306,30.968178,3837639
2007-06-08,45.750954,45.838245,44.806152,45.350437,30.726393,3629155
2007-06-11,46.128361,46.215652,45.730415,46.215652,31.312601,1932154
2007-06-12,46.213085,46.218220,45.507050,45.596909,30.893381,2909912
2007-06-13,45.596909,46.007690,45.191261,45.776627,31.015148,1810766
2007-06-14,46.572517,47.830544,46.572517,47.820271,32.399784,4701359
2007-06-15,47.501915,48.780476,47.501915,48.600761,32.928585,4327250
2007-06-18,48.575085,49.088566,47.933235,47.933235,32.476322,3143857
2007-06-19,47.922970,48.780476,47.799732,48.585354,32.918152,4195977
2007-06-20,48.775341,49.550694,48.693188,49.191261,33.328671,3189300
2007-06-21,48.662376,48.965328,48.077011,48.220783,32.671146,3545280
2007-06-22,48.220783,48.569950,48.051338,48.569950,32.907715,1679337
2007-06-25,48.041069,48.472389,47.604610,48.138630,32.615479,1877850
2007-06-26,47.922970,47.922970,47.414623,47.430027,32.135376,1960336
2007-06-27,46.983303,47.881889,46.973034,47.732983,32.340637,1990660
2007-06-28,48.261864,48.575085,47.902428,48.559681,32.900757,1847951
2007-06-29,48.266998,50.387665,48.266998,50.033363,33.899231,4222404
2007-07-02,49.396652,49.735546,49.186127,49.350437,33.436516,2325354
2007-07-03,49.406921,49.750954,49.288822,49.370979,33.450439,2526463
2007-07-04,49.396652,50.038502,49.293957,49.545559,33.568722,1431574
2007-07-05,49.745815,49.807434,49.242607,49.545559,33.568722,2071182
2007-07-06,49.068024,49.632851,49.068024,49.483944,33.526978,1181823
2007-07-09,49.447998,49.679066,49.258011,49.406921,33.474789,1450383
2007-07-10,49.740681,52.436447,49.581505,49.725277,33.690487,5581606
2007-07-11,48.985870,52.118088,48.806152,50.829258,34.438469,5437972
2007-07-12,51.096268,51.291389,50.367126,50.767639,34.396717,2689971
2007-07-13,51.245174,51.378677,50.577652,51.378677,34.810726,2094166
2007-07-16,51.383816,51.614880,50.988438,51.388950,34.817677,1995630
2007-07-17,51.347870,51.347870,50.629002,51.137344,34.647202,2526866
2007-07-18,50.834393,50.870335,49.904995,49.904995,33.812248,2469960
2007-07-19,50.505768,51.065456,49.910130,50.911415,34.494141,1922303
2007-07-20,50.690617,51.455700,49.910130,50.156601,33.982727,2273570
2007-07-23,50.038502,50.572517,49.976883,50.551979,34.250603,1247559
2007-07-24,50.367126,50.834393,49.756088,49.982018,33.864437,1830194
2007-07-25,49.504482,49.704739,48.626434,48.754803,33.032963,4024780
2007-07-26,49.109104,49.114239,47.958912,48.754803,33.032963,3314001
2007-07-27,47.430027,48.112953,46.829258,47.522453,32.197994,4604891
2007-07-30,47.476242,48.754803,47.157883,48.231056,32.678101,4010616
2007-07-31,48.729130,49.175858,48.472389,49.145046,33.297352,2870487
2007-08-01,47.753521,48.256729,47.373547,47.861351,32.427616,3957581
2007-08-02,48.580219,48.580219,47.840813,48.123222,32.605045,2246550
2007-08-03,48.626434,48.672646,47.342735,47.604610,32.253666,2591164
2007-08-06,47.240040,47.342735,46.557114,47.050053,31.877935,2669181
2007-08-07,47.753521,48.164303,47.204098,47.804867,32.389347,2647009
2007-08-08,47.969181,49.596909,47.969181,49.514751,33.547848,3913850
2007-08-09,49.514751,49.961479,48.949924,49.417191,33.481747,4556477
2007-08-10,48.005123,49.807434,47.753521,47.753521,32.354557,4251405
2007-08-13,48.446716,49.037216,47.958912,49.016678,33.210388,2869587
2007-08-14,48.277267,48.611031,47.948643,48.128361,32.608517,2672399
2007-08-15,47.496780,48.112953,47.240040,47.902428,32.455448,2198379
2007-08-16,47.157883,47.157883,45.216934,45.427460,30.778582,7191071
2007-08-17,45.365845,46.598194,44.842094,45.191261,30.618546,7095768
2007-08-20,45.982018,45.997421,45.073162,45.145046,30.587233,3384490
2007-08-21,45.186127,45.643124,44.867767,45.242607,30.653328,4546342
2007-08-22,46.059040,46.983303,46.007690,46.983303,31.832710,3088381
2007-08-23,47.496780,47.763790,46.593060,46.593060,31.568312,1984707
2007-08-24,46.485226,47.512184,46.361992,47.342735,32.076233,1842158
2007-08-27,47.584072,47.845947,47.188694,47.281120,32.034489,964505
2007-08-28,47.050053,47.060322,46.141197,46.243893,31.331734,1771682
2007-08-29,46.043636,46.813854,45.699604,46.587921,31.564831,1655930
2007-08-30,46.716293,47.414623,46.613598,47.414623,32.124939,1635917
2007-08-31,47.553265,48.035934,47.301659,48.035934,32.545910,2004710
2007-09-03,47.938374,48.010258,47.414623,47.465973,32.159737,1400022
2007-09-04,46.931953,47.573803,46.557114,47.537861,32.208447,1417768
2007-09-05,46.957626,47.347874,46.213085,46.213085,31.310858,2352897
2007-09-06,46.326050,46.896011,45.992287,46.418476,31.450026,2044075
2007-09-07,46.213085,46.639271,45.134777,45.191261,30.618546,2743315
2007-09-10,45.206665,45.951210,44.847229,44.985870,30.479387,2088986
2007-09-11,45.432594,46.007690,45.222069,45.843380,31.060368,1604202
2007-09-12,45.863918,46.007690,45.268284,45.612312,30.903818,1708773
2007-09-13,45.596909,46.731697,45.442863,46.654675,31.610052,2392011
2007-09-14,46.305511,46.495499,45.833111,46.392799,31.432623,1500607
2007-09-17,46.166870,46.213085,45.273418,45.494213,30.823801,2391458
2007-09-18,45.494213,46.916550,45.437733,46.916550,31.787477,2679082
2007-09-19,47.897293,48.498062,47.522453,48.369694,32.772041,2625310
2007-09-20,47.969181,48.133495,47.573803,47.753521,32.354557,1870145
2007-09-21,47.712440,49.268284,47.558399,48.718861,33.008606,4359275
2007-09-24,48.421043,48.878036,48.174572,48.359425,32.765079,1569286
2007-09-25,47.958912,48.415909,47.753521,48.077011,32.573727,2043745
2007-09-26,48.421043,48.718861,48.266998,48.405640,32.796391,1692007
2007-09-27,48.564816,48.749668,48.302940,48.318344,32.737236,1952030
2007-09-28,48.128361,48.605892,47.856216,48.195110,32.653744,1776876
2007-10-01,47.758656,48.677780,47.152748,48.477524,32.845093,1899967
2007-10-02,48.559681,48.677780,47.481377,47.620014,32.264103,3232439
2007-10-03,47.548126,48.323483,47.548126,48.236191,32.681587,1553176
2007-10-04,47.958912,48.641838,47.958912,48.379963,32.778988,1108764
2007-10-05,48.549412,48.980736,48.256729,48.970463,33.179073,1415365
2007-10-08,49.037216,49.165585,48.754803,48.806152,33.067749,880714
2007-10-09,48.759937,49.196396,48.605892,49.145046,33.297352,1087229
2007-10-10,48.924252,49.088566,48.703457,48.934521,33.154724,1299810
2007-10-11,48.698322,49.545559,48.549412,49.360706,33.443474,1459933
2007-10-12,49.011543,49.011543,48.266998,48.980736,33.186043,1882251
2007-10-15,48.785610,50.243893,48.626434,49.222069,33.349548,2827081
2007-10-16,49.088566,49.468540,48.138630,48.585354,32.918152,2028099
2007-10-17,48.621300,48.826691,48.241325,48.446716,32.824219,1277215
2007-10-18,48.569950,48.698322,47.789463,47.887024,32.445011,1765187
2007-10-19,47.861351,48.426178,47.789463,48.118092,32.601566,1286098
2007-10-22,47.548126,47.697037,47.291389,47.512184,32.191044,1723249
2007-10-23,47.630283,48.143764,47.599476,47.989719,32.514591,1488642
2007-10-24,47.933235,48.487793,47.753521,48.379963,32.778988,1770495
2007-10-25,48.523739,48.523739,47.676498,48.338886,32.751160,2500072
2007-10-26,48.523739,48.544277,48.010258,48.539143,32.886841,1656660
2007-10-29,48.780476,48.816422,48.472389,48.713726,33.005123,1138954
2007-10-30,48.652107,48.652107,48.174572,48.467255,32.838135,1093461
2007-10-31,48.359425,48.775341,47.907562,48.775341,33.046875,1393483
2007-11-01,48.600761,48.723995,47.686768,47.984585,32.511112,1428616
2007-11-02,47.620014,48.652107,47.620014,48.652107,32.963379,1724712
2007-11-05,48.266998,48.575085,48.123222,48.421043,32.806824,1426968
2007-11-06,48.421043,48.698322,48.215652,48.503201,32.862488,1107646
2007-11-07,48.446716,48.652107,47.702171,48.328617,32.744202,1348527
2007-11-08,47.599476,48.518604,47.599476,48.282402,32.712894,1439841
2007-11-09,48.236191,48.415909,47.250313,47.471107,32.163212,2018574
2007-11-12,47.240040,47.440296,46.469822,46.988438,31.836187,1760316
2007-11-13,46.860065,47.101402,46.587921,46.813854,31.717905,1650070
2007-11-14,47.034649,47.779194,46.726563,47.625149,32.267582,1864174
2007-11-15,47.383816,47.810001,47.039783,47.532722,32.204960,1942532
2007-11-16,47.240040,47.681633,46.382530,46.721428,31.655281,2960504
2007-11-19,46.608463,47.168156,46.341454,46.433880,31.460453,2151987
2007-11-20,46.593060,48.210518,46.521172,48.071877,32.570251,2646386
2007-11-21,47.465973,47.661095,46.521172,47.085999,31.902285,2280207
2007-11-22,47.085999,48.005123,47.085999,47.794598,32.382385,2212740
2007-11-23,47.917831,48.744534,47.810001,48.605892,32.932068,2117038
2007-11-26,48.780476,49.124508,48.410770,48.611031,32.935547,1816774
2007-11-27,48.302940,48.451851,47.763790,48.328617,32.744202,2079836
2007-11-28,48.862633,50.572517,48.369694,50.300373,34.080132,2748994
2007-11-29,50.320911,50.623867,49.992287,50.490360,34.208851,1528850
2007-11-30,50.423611,51.091129,50.377396,50.937088,34.511532,2041607
2007-12-03,50.649540,51.039783,50.510899,50.695751,34.348015,1432906
2007-12-04,50.695751,51.281116,50.608459,50.818989,34.431507,1909428
2007-12-05,51.085999,51.640553,51.070591,51.589207,34.953362,1755667
2007-12-06,51.625149,52.118088,50.654675,51.435162,34.848991,2179930
2007-12-07,51.450565,52.241325,51.450565,51.897293,35.162098,2078203
2007-12-10,51.383816,51.599476,50.978165,51.224636,34.706348,2154174
2007-12-11,51.219501,51.548126,50.983299,51.245174,34.720268,2036179
2007-12-12,50.562248,52.328613,50.541710,52.041065,35.259502,2397086
2007-12-13,51.347870,51.743248,50.582787,51.075726,34.605461,2351349
2007-12-14,51.229771,51.835674,50.870335,51.281116,34.744617,1275184
2007-12-17,50.829258,50.834393,50.331184,50.546844,34.247124,1776067
2007-12-18,49.920399,51.091129,49.920399,50.387665,34.139275,1333566
2007-12-19,50.336319,51.183556,50.023094,50.896008,34.483696,1867454
2007-12-20,50.875469,51.394085,50.500629,50.747101,34.382805,1908476
2007-12-21,51.347870,51.861347,51.168152,51.861347,35.137741,4889209
2007-12-24,51.168152,51.810001,51.147614,51.758656,35.068165,253833
2007-12-27,51.450565,52.605892,51.450565,52.328613,35.454334,1305162
2007-12-28,51.922966,52.436447,51.732979,52.133492,35.322124,1076823
